"LIBELLE_EC","LIBELLE_DIPLOME","NUM_SEMESTRE"
"Economie generale - FLZEG501","Licence Administration publique",5
"Institutions administratives","Licence Administration publique",5
"Techniques d'expression ecrite - FLZTE501","Licence Administration publique",5
"ang. - FLZAN501","Licence Administration publique",5
"Droit de l'Union Europeenne - FLZUE601","Licence Administration publique",6
"Finances locales - FLZFL601","Licence Administration publique",6
"Finances sociales - FLZFS601","Licence Administration publique",6
"Politiques economiques de l'Union Europeenne","Licence Administration publique",6
"Stage decouverte de l'administration","Licence Administration publique",6
"Techniques d'expression orale - FLZTE601","Licence Administration publique",6
"ang. - FLZAN501","Licence Administration publique",6
"ang. SSA DA-A2 SI","Licence Administration économique et sociale",1
"ang. SSA DA-B1 SI","Licence Administration économique et sociale",1
"ang. SSA DA-B2 SI","Licence Administration économique et sociale",1
"ang. SSA DA-C1 SI","Licence Administration économique et sociale",1
"histoire contemporaine du XIXe siecle","Licence Administration économique et sociale",1
"introduction a la gestion","Licence Administration économique et sociale",1
"introduction a la macroeconomie","Licence Administration économique et sociale",1
"introduction a la psychologie sociale","Licence Administration économique et sociale",1
"introduction au droit civil 1","Licence Administration économique et sociale",1
"ang. SSA DA-A2 SP","Licence Administration économique et sociale",2
"ang. SSA DA-B1 SP","Licence Administration économique et sociale",2
"ang. SSA DA-B2 SP","Licence Administration économique et sociale",2
"ang. SSA DA-C1 SP","Licence Administration économique et sociale",2
"droit constitutionnel","Licence Administration économique et sociale",2
"initiation a la sociologie: questions de societe","Licence Administration économique et sociale",2
"introduction a la comptabilite","Licence Administration économique et sociale",2
"introduction au droit civil 2","Licence Administration économique et sociale",2
"macroeconomie","Licence Administration économique et sociale",2
"Comptabilite financiere","Licence Administration économique et sociale",3
"Culture et langue esp.es","Licence Administration économique et sociale",3
"Droit administratif: services publics et responsabilites","Licence Administration économique et sociale",3
"Droit des obligations","Licence Administration économique et sociale",3
"Droit des relations internationales","Licence Administration économique et sociale",3
"Finances publiques","Licence Administration économique et sociale",3
"Introduction a la psychologie du travail","Licence Administration économique et sociale",3
"Management strategique des organisations","Licence Administration économique et sociale",3
"Microeconomie 1: l'equilibre du consommateur","Licence Administration économique et sociale",3
"Prepro: Initiation aux techniques de recherche","Licence Administration économique et sociale",3
"Psychologie: les methodes","Licence Administration économique et sociale",3
"Statistiques inferentielles 1","Licence Administration économique et sociale",3
"ang. SSA DA-A2 SI","Licence Administration économique et sociale",3
"ang. SSA DA-B1 SI","Licence Administration économique et sociale",3
"ang. SSA DA-B2 SI","Licence Administration économique et sociale",3
"ang. SSA DA-C1 SI","Licence Administration économique et sociale",3
"Droit des institutions europeennes","Licence Administration économique et sociale",4
"Gestion des ressources humaines: introduction","Licence Administration économique et sociale",4
"Histoire des conflits internationaux et politico-sociaux du","Licence Administration économique et sociale",4
"Les fondements du marketing","Licence Administration économique et sociale",4
"Microeconomie 2: producteurs et marches","Licence Administration économique et sociale",4
"Preparation d'entretiens professionnels","Licence Administration économique et sociale",4
