ANTH-S6 Introduction aux systemes musicaux 2,6,SCIENCES HUMAINES ET SOCIALES,Anthropologie
MIAGE Systemes dinformation s5,5,SCIENCES TECHNOLOGIES ET SANTE,Mathematiques et informatique appliquees aux sciences humaines et sociales
Droit de lUnion Europeenne : contentieux communautaires,6,DROIT ECONOMIE GESTION,Droit
Ecrire le droit : Histoire de la codification,6,DROIT ECONOMIE GESTION,Droit
EC1 Alterations de la sante : troubles P SM et M,5,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,Sciences Techniques des Activites Physiques et Sportives
ang.,2,SCIENCES HUMAINES ET SOCIALES,Geographie et amenagement
EC5 Connaissance et adaptation dAPSA I (3 domaines),5,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,Sciences Techniques des Activites Physiques et Sportives
Anglais Scientifique (I) - APAS,5,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,Sciences Techniques des Activites Physiques et Sportives
Connaissance de lentreprise 1,5,SCIENCES TECHNOLOGIES ET SANTE,Sciences pour lingenieur
Analyse numerique,6,SCIENCES TECHNOLOGIES ET SANTE,Sciences pour lingenieur
Histoire des idees politiques modernes,5,DROIT ECONOMIE GESTION,Droit
DDS2,6,SCIENCES TECHNOLOGIES ET SANTE,Sciences pour lingenieur
Transferts Thermiques,6,SCIENCES TECHNOLOGIES ET SANTE,Sciences pour lingenieur
Version economique 1 (espagnol),1,DROIT ECONOMIE GESTION,Economie
Grammaire espagnole 1,1,DROIT ECONOMIE GESTION,Economie
Histoire economique de lAmerique latine 2,2,DROIT ECONOMIE GESTION,Economie
Expression ecrite et orale 2,2,DROIT ECONOMIE GESTION,Economie
Histoire economique de lEspagne 4,4,DROIT ECONOMIE GESTION,Economie
Grammaire espagnole 4,4,DROIT ECONOMIE GESTION,Economie
Chinois comprehenion expression S4 ,4,ARTS LETTRES LANGUES,Langues etrangeres appliquees
Sociologie de leducation,6,SCIENCES HUMAINES ET SOCIALES,Sciences de lEducation
Analyses des pratiques educatives,5,SCIENCES HUMAINES ET SOCIALES,Sciences de lEducation
Education familiale,5,SCIENCES HUMAINES ET SOCIALES,Sciences de lEducation
Cours ang. S6,6,SCIENCES HUMAINES ET SOCIALES,Geographie et amenagement
Innovations pedagogiques,5,SCIENCES HUMAINES ET SOCIALES,Sciences de lEducation
Economie de leducation,6,SCIENCES HUMAINES ET SOCIALES,Sciences de lEducation
Histoire de leducation,6,SCIENCES HUMAINES ET SOCIALES,Sciences de lEducation
Sociologie de la formation,6,SCIENCES HUMAINES ET SOCIALES,Sciences de lEducation
ANTH-S5 Le paleolithique dans le monde,5,SCIENCES HUMAINES ET SOCIALES,Anthropologie
ANTH-S5 Technologies prehistoriques,5,SCIENCES HUMAINES ET SOCIALES,Anthropologie
almd. grammaire L2 semestre 1,3,ARTS LETTRES LANGUES,Études europeennes et internationales
Art moderne 1 sem 6,6,SCIENCES HUMAINES ET SOCIALES,Histoire de lart
Art contemporain 2 sem 6,6,SCIENCES HUMAINES ET SOCIALES,Histoire de lart
Collections doeuvres dart privees et publiques (XVIe-XXe s,5,SCIENCES HUMAINES ET SOCIALES,Histoire de lart
Sociologie 2,2,DROIT ECONOMIE GESTION,Economie
Methodes statistiques,4,DROIT ECONOMIE GESTION,Economie
Contrats speciaux,6,DROIT ECONOMIE GESTION,Droit
Droit public esp. et Analyse des textes juridiques 2,2,DROIT ECONOMIE GESTION,Droit
Langue allemande semestre 2,2,DROIT ECONOMIE GESTION,Droit
Traduction espagnol  (theme-version) semestre 2,2,DROIT ECONOMIE GESTION,Droit
Traduction espagnol (version juridique) semestre 6,6,DROIT ECONOMIE GESTION,Droit
Techniques du commentaire doeuvre dart au musee sem 6 cour,6,SCIENCES HUMAINES ET SOCIALES,Histoire de lart
Demographie: enjeux et theories,2,SCIENCES HUMAINES ET SOCIALES,Sociologie
Procedure penale,4,DROIT ECONOMIE GESTION,Droit
Procedure civile,4,DROIT ECONOMIE GESTION,Droit
